Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/28/14,36-066,LAL,,HOU,L (-18),1,29:00:00,6,17,0.353,0,1,0,7,8,0.875,0,3,3,2,1,0,1,5,19,9.4,-11
2,2,10/29/14,36-067,LAL,@,PHO,L (-20),1,27:53:00,11,25,0.44,2,4,0.5,7,7,1,1,3,4,3,2,0,2,2,31,20.8,-26
3,3,10/31/14,36-069,LAL,,LAC,L (-7),1,35:16:00,6,15,0.4,1,5,0.2,8,11,0.727,0,4,4,7,2,0,3,5,21,14.8,-9
4,4,11/1/14,36-070,LAL,@,GSW,L (-23),1,35:53:00,12,28,0.429,1,6,0.167,3,6,0.5,1,5,6,1,2,0,7,3,28,8.7,-30
5,5,11/4/14,36-073,LAL,,PHO,L (-6),1,44:15:00,14,37,0.378,3,7,0.429,8,12,0.667,3,6,9,1,1,1,3,0,39,20.4,-5
6,6,11/9/14,36-078,LAL,,CHO,W (+15),1,34:17:00,7,20,0.35,1,5,0.2,6,7,0.857,0,6,6,4,1,0,4,1,21,10.6,7
7,7,11/11/14,36-080,LAL,@,MEM,L (-5),1,37:29:00,10,26,0.385,3,10,0.3,5,6,0.833,1,6,7,6,4,0,3,3,28,19.9,8
8,8,11/12/14,36-081,LAL,@,NOP,L (-7),1,36:12:00,10,28,0.357,5,11,0.455,8,8,1,0,4,4,5,1,0,1,1,33,21.7,-14
9,9,11/14/14,36-083,LAL,,SAS,L (-13),1,36:25:00,1,14,0.071,0,5,0,7,9,0.778,0,4,4,6,1,2,4,1,9,2.2,-16
10,10,11/16/14,36-085,LAL,,GSW,L (-21),1,31:22:00,15,34,0.441,3,12,0.25,11,16,0.688,1,4,5,3,0,0,2,3,44,25,-34
11,11,11/18/14,36-087,LAL,@,ATL,W (+5),1,36:57:00,10,18,0.556,3,7,0.429,5,5,1,0,4,4,3,1,0,3,4,28,19.1,11
12,12,11/19/14,36-088,LAL,@,HOU,W (+6),1,39:32:00,10,28,0.357,1,7,0.143,8,10,0.8,0,5,5,7,1,0,3,0,29,17,9
13,13,11/21/14,36-090,LAL,@,DAL,L (-34),1,31:20:00,6,22,0.273,1,4,0.25,4,4,1,2,3,5,7,1,0,2,2,17,9.4,-29
14,14,11/23/14,36-092,LAL,,DEN,L (-7),1,43:50:00,10,24,0.417,0,2,0,7,10,0.7,2,4,6,4,0,0,4,1,27,14,-5
15,15,11/26/14,36-095,LAL,,MEM,L (-6),1,35:16:00,5,15,0.333,2,5,0.4,10,10,1,2,2,4,2,0,0,4,1,22,12.5,-1
16,16,11/28/14,36-097,LAL,,MIN,L (-1),1,34:45:00,10,18,0.556,0,1,0,6,10,0.6,1,4,5,5,5,0,2,1,26,23.8,3
17,17,11/30/14,36-099,LAL,,TOR,W (+7),1,41:36:00,11,24,0.458,0,1,0,9,13,0.692,1,10,11,12,0,1,2,2,31,27,2
18,18,12/2/14,36-101,LAL,@,DET,W (+10),1,33:26:00,4,11,0.364,1,3,0.333,3,3,1,0,5,5,13,2,0,10,2,12,7.7,15
19,19,12/3/14,36-102,LAL,@,WAS,L (-16),1,34:11:00,8,22,0.364,2,6,0.333,11,14,0.786,0,4,4,3,1,0,4,4,29,14.3,-30
20,20,12/5/14,36-104,LAL,@,BOS,L (-17),1,32:42:00,9,21,0.429,1,3,0.333,3,3,1,0,3,3,3,1,0,3,1,22,11.5,-29
21,21,12/7/14,36-106,LAL,,NOP,L (-17),1,31:59:00,6,18,0.333,0,5,0,2,2,1,0,3,3,4,0,0,3,2,14,3.7,-18
